year,Eastern Art,Western Art (corrected),National Russian Art (+fixes)
2014,7,17,4
2015,15,15,9
2016,15,22,7
2017,15,14,13
2018,13,26,4
2019,16,22,10
2020,13,10,7
2021,9,14,9
2022,8,9,14
2023,10,9,10
2024,10,17,17
2025,8,9,15
2026,5,4,2
