year,Eastern Art,Western Art,National Russian Art
2017,0,0,1
2019,0,5,9
2020,1,5,14
2021,2,3,12
2022,4,4,17
2023,6,10,21
2024,5,9,19
2025,5,7,13
2026,1,0,2
