museum,raw_text,url
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/interaktivnaya-vystavka-port-pripiski-dalniy-vostok/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/vasnetsovy-svyaz-pokoleniy-iz-xix-v-xxi-vek/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/priroda-predmeta-sovremennyy-dizayn-i-traditsii-/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/na-vkus-i-tsvet-obrazy-edy-v-russkom-iskusstve/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/k-100-letiyu-viktora-ivanovicha-ivanova/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/stena-i-slovo-russkiy-monastyr-na-granitse-s-nebom/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/globalnaya-biennale-graficheskogo-dizayna-zolotaya-pchela-16/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/za-lichnymi-semeynymi-sobytiyami-ya-priznayu-obshchechelovecheskiy-interes-br-grafika-vladimira-kona/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/na-urovne-morya/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/velikolepnye-ochevidtsy-vremya-i-lyudi-1910-e-1930-e/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/moskva-erevan-moskva-k-125-letiyu-so-dnya-rozhdeniya-a-ya-abramyana/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/ne-tolko-tretyakovy/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/nikolay-ulyanov-iskusstvo-bez-manifesta/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/yuriy-zlotnikov-signalnaya-sistema/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/geroi-i-sovremenniki-serebryanogo-veka-/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/russkaya-i-gruzinskaya-srednevekovaya-zhivopis-v-nasledii-a-n-ovchinnikova/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/aleksandr-konstantinov-ot-linii-k-arkhitekture/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/deti-velikoy-otechestvennoy/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/chto-takoe-dizayn/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/aleksandr-ivanov-master-risunka-eskizy-i-etyudy-k-kartine-yavlenie-khrista-narodu-/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/tibet-khan-yuychen-v-tretyakovskoy-galeree/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/aleksandr-ponomarev-ya-bezumen-tolko-v-nord-nord-vest/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/vek-sporta-k-100-letiyu-moskovskogo-sporta/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/nikolay-milioti-izbrannoe/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/nikolay-rerikh/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/svet/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/ot-ikony-k-avangardu-k-100-letiyu-permskoy-khudozhestvennoy-galerei-i-300-letiyu-goroda-permi/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/sergey-rakhmaninov-ya-russkiy-kompozitor/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/marinist-aleksey-bogolyubov-k-200-letiyu-so-dnya-rozhdeniya/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/snachala-bylo-more/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/viktor-kazarin-struktura-nepokoya/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/didzhital-marshrut-mesto-vstrechi-s-iskusstvom-po-novoy-tretyakovke/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/rasshirennaya-ekspozitsiya-proizvedeniy-ili-kabakova/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/aleksandr-ivanov-master-akvareli-zhanr-i-peyzazh/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/rasshirennaya-ekspozitsiya-k-100-letiyu-eduarda-bragovskogo/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/vek-grafiki-ot-kazimira-malevicha-do-olega-kudryashova/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/akademicheskiy-risunok-kontsa-xviii-nachala-khkh-veka-iz-sobraniya-tretyakovskoy-galerei/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/pod-solntsem-karfagena-aleksandr-rubtsov/
Tretyakov Gallery,АРХИВ,https://www.tretyakovgallery.ru/exhibitions/o/energiya-tsveta-arkhetipy-avangarda/
