page_number,link_text,event_url
1,Эрмитаж и «Интеррос» завершили второй выпуск арт-токенов для финансирования реставрации,https://artguide.ru/news/10507
1,Музей колониального искусства в Антигуа-Гватемале закрылся после проверки прокуратурой,https://artguide.ru/news/10505
1,Лувр восстановит корону императрицы Евгении,https://artguide.ru/news/10504
1,Открылась ярмарка Art Basel Qatar,https://artguide.ru/news/10503
1,Джеффри Эпштейн оказался ключевой фигурой арт-рынка,https://artguide.ru/news/10502
1,Правительство Фландрии не будет закрывать Музей современного искусства Антверпена,https://artguide.ru/news/10501
1,Археологи заново открыли Александрию,https://artguide.ru/news/10500
1,В Доме творчества Переделкино откроется музейный дом «Первая дача»,https://artguide.ru/news/10499
1,В Глазго закрылся Центр современного искусства,https://artguide.ru/news/10498
1,Мануэль Рабате возглавит крупнейший частный музей Индии,https://artguide.ru/news/10497
1,Испанские галереи закрылись в знак протеста против налоговой политики,https://artguide.ru/news/10496
1,Аниш Капур планирует отправить скульптуру в космос,https://artguide.ru/news/10495
1,Во Франции упростят возврат произведений колониального искусства,https://artguide.ru/news/10494
1,В Риме открылся Центр фотографии,https://artguide.ru/news/10493
1,Вышла обновленная версия платформы Provenance Index,https://artguide.ru/news/10492
1,Усадьба Неклюдова в Новгородской области получила премию «Наследие дороже»,https://artguide.ru/news/10491
1,Неизвестные работы первого бас-гитариста The Beatles покажут в Ливерпуле,https://artguide.ru/news/10490
1,Пакистан вернется на Венецианскую биеннале после семилетнего перерыва,https://artguide.ru/news/10489
1,Омск стал культурной столицей России 2026 года,https://artguide.ru/news/10488
1,Антон Козлов запустил сайт своей коллекции,https://artguide.ru/news/10487
1,NFT-платформа Nifty Gateway объявила о закрытии,https://artguide.ru/news/10486
1,Директором музея ПЕРММ станет Елена Новикова,https://artguide.ru/news/10485
1,В Мексике найдена гробница сапотеков возрастом 1400 лет,https://artguide.ru/news/10484
1,Более 22 млн человек посетили московские музеи и выставки в 2025 году,https://artguide.ru/news/10483
1,«ГЭС-2» представил программу на 2026 год,https://artguide.ru/news/10482
1,Центр современного искусства ди Роза в Калифорнии продает свой кампус,https://artguide.ru/news/10481
1,В Милане покажут фреску Леонардо да Винчи,https://artguide.ru/news/10480
1,Художественный музей Вудмер в Филадельфии завершил реконструкцию,https://artguide.ru/news/10479
1,Яков Гробман возглавил Музей Израиля,https://artguide.ru/news/10478
1,Брат Майкла Джексона создаст передвижной музей с работами певца,https://artguide.ru/news/10477
1,В Италии найдена базилика архитектора Витрувия,https://artguide.ru/news/10476
1,В Бангкоке открылся первый крупный музей современного искусства,https://artguide.ru/news/10475
1,В ЮАР начали расследование против министра культуры,https://artguide.ru/news/10474
1,В Помпеях обнаружили ранее неизвестные граффити,https://artguide.ru/news/10473
1,Центр Помпиду отказался от одного из двух пространств в Гран-Пале,https://artguide.ru/news/10472
1,Алиса Бирюкова назначена исполняющим обязанности директора Владимиро-Суздальского музея-заповедника,https://artguide.ru/news/10471
1,В Мраморный дворец вернулся Музей Людвига,https://artguide.ru/news/10470
1,Археологический парк Колизея проведет онлайн-экскурсии в древнеримском доме,https://artguide.ru/news/10469
1,Екатерина Проничева возглавила ГМИИ им. А. С. Пушкина,https://artguide.ru/news/10468
1,Музей ZAMAN принимает заявки на грант «Замандаш» для художников и кураторов,https://artguide.ru/news/10467
1,Израиль примет участие в Венецианской биеннале,https://artguide.ru/news/10466
1,Эксперты оспаривают законность закрытия Музея современного искусства Антверпена,https://artguide.ru/news/10465
1,США вышли из международных организаций по сохранению культурного наследия,https://artguide.ru/news/10464
1,Михаил Пиотровский обратился к генпрокурору Польши по поводу задержания Александра Бутягина,https://artguide.ru/news/10463
1,Директором ГМЗ «Ростовский кремль» назначен Сергей Мостовой,https://artguide.ru/news/10462
1,Названы победители программы «ГАРАЖ.txt» 2025 года,https://artguide.ru/news/10461
1,MoMA купил восемь NFT,https://artguide.ru/news/10460
1,На новых станциях римского метро открылись мини-музеи,https://artguide.ru/news/10459
1,Архив documenta запустил новый веб-сайт,https://artguide.ru/news/10458
1,При раскопках виллы Поппеи найдены фрески,https://artguide.ru/news/10457
1,В Лондоне появились две идентичные работы Бэнкси,https://artguide.ru/news/10456
1,Доступ к фонтану Треви в Риме станет платным,https://artguide.ru/news/10455
1,Продажи аукционного дома Phillips в 2025 году составили $927 млн,https://artguide.ru/news/10454
1,Британский музей будет предоставлять экспонаты музеям в бывших британских колониях,https://artguide.ru/news/10453
1,Фонд Потанина принимает заявки на участие в проекте «Города. Музеи. Сцены»,https://artguide.ru/news/10452
1,"Арт-институции сокращают свои углеродные выбросы быстрее, чем предполагалось",https://artguide.ru/news/10451
