museum,archive_year,raw_text,url
Jewish Museum and Tolerance Center,2018,«Сохрани мою речь навсегда»: к 80-летию гибели Осипа Мандельштама,https://www.jewish-museum.ru/exhibitions/sokhrani-moyu-rech-navsegda/
Jewish Museum and Tolerance Center,2018,Выставка Саши Генциса «Социалистический Сюрреализм»,https://www.jewish-museum.ru/exhibitions/vystavka-sasha-gentsisa-sotsialisticheskiy-syurrealizm/
Jewish Museum and Tolerance Center,2018,Три религии — Единение Мира,https://www.jewish-museum.ru/exhibitions/tri-religii-edinenie-mira/
Jewish Museum and Tolerance Center,2018,«Коридоры. Семь миров Высоцкого»,https://www.jewish-museum.ru/exhibitions/koridory-sem-mirov-vysotskogo/
Jewish Museum and Tolerance Center,2018,«Закрытые границы. Очерки дипломатической истории 1938 – 1943»,https://www.jewish-museum.ru/exhibitions/zakrytye-granitsy-ocherki-diplomaticheskoy-istorii-1938-1943/
Jewish Museum and Tolerance Center,2018,Места: одно за другим,https://www.jewish-museum.ru/exhibitions/mesta-odno-za-drugim/
Jewish Museum and Tolerance Center,2018,"«Невозможное неизбежно. Идеи, которые меняют мир»",https://www.jewish-museum.ru/exhibitions/nevozmozhnoe-neizbezhno-idei-kotorye-menyayut-mir/
Jewish Museum and Tolerance Center,2018,«Modernist Documentary: фотография Леона Левинстайна»,https://www.jewish-museum.ru/exhibitions/modernist-documentary-fotografiya-leona-levinstayna/
Jewish Museum and Tolerance Center,2018,Два взгляда. Две страны,https://www.jewish-museum.ru/exhibitions/dva-vzglyada-dve-strany/
Jewish Museum and Tolerance Center,2018,«Посмотри в мои глаза. Моя история борьбы с раком»,https://www.jewish-museum.ru/exhibitions/posmotri-v-moi-glaza-moya-istoriya-borby-s-rakom/
Jewish Museum and Tolerance Center,2018,«С видом на жизнь»,https://www.jewish-museum.ru/exhibitions/s-vidom-na-zhizn/
Jewish Museum and Tolerance Center,2018,«Собибор: победившие смерть»,https://www.jewish-museum.ru/exhibitions/sobibor-pobedivshie-smert/
Jewish Museum and Tolerance Center,2018,Выставка Вольфа фон Ленкевича «Процессии Орфея»,https://www.jewish-museum.ru/exhibitions/vystavka-volfa-fon-lenkevicha-protsessii-orfeya/
Jewish Museum and Tolerance Center,2019,Союз молодежи. Русский авангард 1909–1914,https://www.jewish-museum.ru/exhibitions/soyuz-molodezhi/
Jewish Museum and Tolerance Center,2019,Невавилонская библиотека,https://www.jewish-museum.ru/exhibitions/nevavilonskaya-biblioteka/
Jewish Museum and Tolerance Center,2019,Спасший одного спасает весь мир. Праведники народов мира и их истории,https://www.jewish-museum.ru/exhibitions/spasshiy-odnogo-spasaet-ves-mir-pravedniki-narodov-mira-i-ikh-istorii/
