year,Eastern Art,Western Art,National Russian Art
2014,2,7,70
2015,0,5,72
2016,3,9,71
2017,0,3,62
2018,3,3,53
2019,0,10,57
2020,0,0,28
2021,1,6,33
2022,0,1,66
2023,0,1,5
2024,0,0,20
2025,0,0,35
2026,0,0,35
