year,Eastern Art,Western Art,National Russian Art
2014,2,16,18
2015,12,18,24
2016,11,32,30
2017,33,163,98
2018,39,203,105
2019,46,276,89
2020,21,97,48
2021,21,110,79
2022,46,107,68
2023,32,104,75
2024,39,136,85
2025,25,109,78
2026,26,55,45
