title,year,url,text_to_analyze
Центр современной культуры «Гараж» представляет стипендиатов программы поддержки российских молодых художников,2012,https://garagemca.org/news/2012-10-09-winners-of-the-program-in-support-of-young-russian-artists,"Центр современной культуры «Гараж» рад сообщить о завершении приема заявок и подведении итогов программы поддержки российских молодых художников. «Система поощрительных стипендий – принципиально новая для России практика, которая, надеюсь, подарит нам новое поколение художников. Для “Гаража” это следующий шаг в поддержке современного искусства в России, и мы очень рады заявить, что начали реализовывать эту программу…», – говорит Дарья Жукова, основатель Центра современной культуры «Гараж». Центр зарегистрировал около 400 заявок на получение грантов, и после многочисленных дискуссий экспертный совет определил участников-победителей. Ими стали: • Иван Горшков (Воронеж) • Юлия Застава (Санкт-Петербург) • Кирилл Макаров (Санкт-Петербург) • Марго Овчаренко (Санкт-Петербург) Стипендиаты программы представляют различные направления современного искусства: видеоарт, фотография, скульптура, живопись, стрит-арт. Приоритетными качествами при выборе кандидата являлись неординарность мышления, работа с новыми материалами и формами, убедительность и логика художественных решений. Задачей программы Центра современной культуры «Гараж» является поддержка молодых художников (от 18 до 35 лет), которые еще не начали зарабатывать своими работами и нуждаются в материальном поощрении. Программа поддержки молодых российских художников Центром современной культуры «Гараж» является ежегодной, следующий прием заявок пройдет летом 2013 года. Дополнительная информация Иван Горшков – скульптор, работающий с такими материалами, как металл, бетон, железо, дерево и аэрозольная краска. Юлия Застава создает личную мифологию из символов, знакомых всем с детства. Исполнив несколько живописных проектов, она в настоящее время экспериментирует со скульптурными формами, сохраняя прежний инструментарий образов. Кирилл Кто (Лебедев) – граффитист, больше не работающий с галереями и полностью перешедший в пространство улицы, которая представляется лирическим дневником его героя. Кирилл Макаров работает как живописец, исследуя воображаемые пространства на границе реальности и сна. Марго Овчаренко – фотограф, запечатлевающий мир юности и пробуждающейся чувственности. Игорь Поносов: лаконичные надписи, фигуры и линии растворяются в городском пространстве. Стрит арт, словно бы вдохновленный традициями московских концептуалистов. Мария Харитонова – видеохудожник. Она исследует границу между видеоартом и кинематографом и в своих работах сохраняет позицию безучастного наблюдателя."
Творческая мастерская PUMA Creative Factory,2012,https://garagemca.org/news/2012-10-20-puma-creative-factory-workshop,
Открытие павильона в Парке Горького,2012,https://garagemca.org/news/2012-10-20-opening-of-the-pavilion-in-gorky-park,"20 октября 2012 года Центр современной культуры «Гараж» откроет временный павильон в Парке Горького на берегу Пионерского пруда. В павильоне будут проходить выставки, лекции, кинопоказы, концерты, детские занятия, будут работать кафе и книжный магазин. Автором павильона выступил японский архитектор Шигеру Бан. Даша Жукова: «Наш переезд в Парк Горького – захватывающий новый этап в развитии “Гаража"". При обсуждении необходимости постройки временного павильона Центра сомнений по поводу архитектора не было. Шигеру Бан – известный мастер возведения уникальных зданий в кратчайшие сроки, и мы очень рады тому, что Шигеру нашел время и возможность для создания нашего временного дома в Парке Горького». Партнер открытия Просмотреть Центр современной культуры ""Гараж"" в Парке Горького на карте большего размера Шигеру Бан – всемирно известный японский архитектор, который славится временными постройками из необработанного сырья - бумаги и картона, использованием недорогих и экологически чистых, но непривычных стройматериалов. Павильон Центра не стал исключением – произведенные в России бумажные трубы образуют здание овальной формы высотой 6 метров и общей площадью 2 400 м²."
Конкурс для молодых российских графических дизайнеров,2012,https://garagemca.org/news/2012-10-31-full-information-coming-soon,"Центр современной культуры «Гараж», издательство Ad Marginem и Швейцарский совет по культуре Pro Helvetia объявляют о конкурсе для молодых российских графических дизайнеров Лучший участник конкурса (воркшопа) станет дизайнером книг совместной издательской программы Центра «Гараж» и издательства Ad Marginem. Конкурс пройдет в форме воркшопа директора швейцарского издательства JRP|Ringier Лионеля Бовье и арт-директора и главного дизайнера издательства Жиля Гавийе (агентство Gaviellet & Rust). Швейцарское издательство JRP|Ringier – один из ведущих издателей книг о современном искусстве в мире, за 8 лет его существования было опубликовано около 400 изданий на английском, немецком и французском языках – книги художников и о художниках (в том числе таких знаменитостей, как Джон Бальдессари, Ричард Принс, Майк Келли), каталоги международных художественных выставок (например, Венецианской биеннале) и ведущих мировых музеев. Книги издательства завоевали множество призов в области графического дизайна. Директор издательства JRP|Ringier Лионель Бовье и арт-директор и главный дизайнер издательства Жиль Гавийе проведут воркшоп для 10 молодых российских дизайнеров 29 и 30 ноября 2012 года в Центре современной культуры «Гараж». Участники воркшопа будут отобраны на конкурсной основе – к участию в конкурсе приглашаются студенты профильных учебных заведений и молодые профессионалы (в возрасте до 30 лет). Наряду с Лионелем Бовье и Жилем Гавийе оценивать работы участников воркшопа будут вице-президент Академии графического дизайна, президент Московской международной биеннале графического дизайна «Золотая пчела» Сергей Серов, представители Центра современной культуры «Гараж» и издательства Ad Marginem. Заявка и задание для участия в конкурсе"
При покупке билета на Арт-Эксперимент скидка в книжном магазине 10%,2012,https://garagemca.org/news/2012-12-07-save-10-in-bookstore-with-the-ticket-to-art-experiment,"Купив билет на Арт-Эксперимент, вы можете бесплатно посетить выставку ""Временная Архитектура"" и получить скидку 10% в книжном магазине (скидка действует до 31 декабря)."
Рождественский праздник LavkaLavka,2012,https://garagemca.org/news/2012-12-22-lavkalavka-christmas,"22 декабря на территории Центра современной культуры «Гараж» состоится Рождественский праздник Lavkalavka, на который съедутся несколько десятков местных фермеров, охотников и рыболовов из фермерского кооператива Lavkalavka. Рождественский праздник Lavkalavka – это погружение в мир местных фермерских продуктов и культуры ответственного потребления, а также гастрономическая история для людей, которые поддерживают тренд local food и разделяют идею чистой природы продуктов. Основная цель всех праздников Lavkalavka заключается в поддержке местных эко-фермеров и приобщению максимального количества людей к новой культуре еды. Следуя в рамках своей деятельности задаче продвижения современной культуры, Центр «Гараж» также рад поддержать развитие новой культуры еды, что делает выбор этого места для проведения Праздника не случайным. На Рождественском празднике Lavkalavka в Центре современной культуры «Гараж» можно будет не только купить фермерские продукты, но и тут же их съесть. Дружественные Lavkalavka рестораны представят свою гастрономическую интерпретацию рождественских традиций и фермерских продуктов. Всех гостей Рождественского праздника также ждет обширная развлекательная программа с самым настоящим сельскохозяйственным зоопарком, детской зоной и отделом новогодних подарков. Кроме того, в рамках подготовки к Рождественскому празднику Lavkalavka в Москве пройдет Рождественский фестиваль фермерской птицы. С 3 по 22 декабря лучшие рестораны будут готовить специальные блюда из цыплят, цесарок, уток, мясных голубей, индеек и, конечно, хрестоматийного рождественского гуся. Среди участников фестиваля будет и кафе Центра современной культуры «Гараж», которое таким образом начнет заранее готовиться к Рождественскому празднику на территории Центра."
Центр «Гараж» дарит билет на Арт-Эксперимент,2012,https://garagemca.org/news/2012-12-27-garage-gives-a-free-ticket-to-art-experiment,"Центр современной культуры «Гараж» поздравляет вас с наступающим Новым Годом и дарит билет на ""Арт-Эксперимент""! Откройте пять таинственных миров вместе со своими близкими и друзьями: попробуйте туман на вкус, управляйте облаком, рисуйте летающим шаром, создайте свой мир, станьте дизайнерами! С 27 по 30 декабря при покупке двух билетов на ""Арт-Эксперимент"" третий вы получаете бесплатно. *Данное предложение распространяется на покупку билетов всех категорий только через стойку информации Центра «Гараж»."
Итоги конкурса для молодых графических дизайнеров,2013,https://garagemca.org/news/2013-02-10-a-competition-for-young-graphic-designers-results,"В Центре современной культуры «Гараж» прошел мастер-класс для молодых графических дизайнеров, организованный при поддержке издательства Ad Marginem и Швейцарского совета по культуре Pro Helvetia. Мастер-класс провели директор швейцарского издательства JRP|Ringier Лионель Бовье и арт-директор и главный дизайнер издательства Жиль Гавийе (основатель агентства Gavillet&Rust) Участники мастер-класса были отобраны Лионелем Бовье и Жилем Гавийе на основе конкурса заявок: ими стали 10 молодых российских графических дизайнеров (возраст 21-30 лет) - Александр Блюхер, Анатолий Гращенко, Максим Деревянкин, Мария Косарева, Степан Липатов, Евгений Николаев, Максим Санталов, Зарема Шарифуллина, Денис Шарыпин и Анастасия Яруллина. Целью мастер-класса было создание дизайн-макета одной из двух книг, изданных издательством JRP|Ringier: 1) книга о «пустых выставках» Voids. A Retrospective 2) монография о художнице Май-Ту Перре Участники получили текст и набор иллюстраций. В течение двух дней (29 и 30 ноября 2012г.) участники мастер-класса работали над собственными макетами книг, а вечером 30 ноября жюри выбрало две лучшие работы. Наряду с Лионелем Бовье и Жилем Гавийе в жюри вошли руководитель Отдела маркетинга и рекламы Центра «Гараж» Марина Васильцова, координатор издательской программы «Гаража» Ольга Дубицкая и президент международной биеннале графических искусство «Золотая пчела», руководитель Высшей Академической Школы Графического Дизайна Сергей Серов. Победителями конкурса стали Мария Косарева (Voids) и Степан Липатов (Mai-Thu Perret). В 2013 году они будут работать над дизайном книг совместной издательской программы Центра «Гараж» и издательства Ad Marginem. Отчет о мастер-классе, опубликованный в газете издательства JRP|Ringier. Швейцарское издательство JRP|Ringier – один из ведущих мировых издателей книг о современном искусстве, за 8 лет существования JRP|Ringier было опубликовано около 400 изданий на английском, немецком и французском языках – книги художников и о художниках (в том числе таких знаменитостей, как Джон Бальдессари, Ричард Принс, Майк Келли), каталоги международных художественных выставок (например, Венецианской биеннале) и ведущих мировых музеев. Книги издательства завоевали множество призов в области графического дизайна. Pro Helvetia – Швейцарский художественный фонд, финансируемый федеральным правительством Швейцарии. Главные задачи фонда – стимулирование культурной деятельности внутри Швейцарии, а также поддержка проектов в сфере международного культурного сотрудничества и популяризация культуры Швейцарии за рубежом."
Новый главный куратор Центра «Гараж»,2013,https://garagemca.org/news/2013-02-14-new-chief-curator-for-garage,"Центр современной культуры «Гараж» рад сообщить, что новым главным куратором «Гаража» назначена Кейт Фаул, исполнительный директор Independent Curators International (ICI) в Нью-Йорке. Это назначение, способствующее развитию культурных связей, отражает важнейшую миссию «Гаража» — показ международного современного искусства в России. В то же время это значимое изменение в составе растущего кураторского отдела — Кейт будет сотрудничать с советником Центра современной культуры «Гараж» по международным программам Хансом Ульрихом Обристом и войдет в состав команды кураторов «Гаража». Дарья Жукова и Кейт Фаул. Фото: Хьюго Глендиннинг © Центр современной культуры «Гараж» Кейт Фаул начнет сотрудничество с «Гаражом» весной 2013 года и будет работать как в Москве, так и в Нью-Йорке. Она возьмет на себя ведущую роль в разработке инновационной выставочной программы в новом здании «Гаража» в Парке Горького, которое разработано архитектурным бюро ОМА Рема Колхаса и должно открыться в 2014 году. Кейт Фаул будет представлять «Гараж» в России и за рубежом, расширяя и укрепляя связи с крупными культурными институциями и международным арт-сообществом. Комментируя свое назначение, Кейт Фаул подчеркнула: «Я счастлива присоединиться к профессиональной команде «Гаража», это прекрасная возможность продолжить сотрудничество с зарубежными художниками и кураторами, усилить присутствие Центра на международной арт-сцене и в результате общей командной работы порадовать аудиторию новыми выставками, отражающими дух, энергию и прогресс нашего времени». Кейт Фаул занимала пост исполнительного директора ICI в Нью-Йорке с 2009 года и по-прежнему остается в ICI директором по общим вопросам. За время своей работы она в немалой степени способствовала превращению ICI в масштабную платформу для разнообразных кураторских практик. До этого она была первым международным куратором Центра современного искусства Ullens в Пекине. Совместно с Ральфом Ругоффом Кейт Фаул учредила магистерскую программу в области кураторской практики в Калифорнийском колледже искусств в Сан-Франциско и в 2002–2007 годах была ее председателем. До переезда в США в 2001 году Кейт являлась одним из руководителей партнерского кураторского проекта Smith + Fowle, созданного в Лондоне и работавшего по всей Великобритании с 1996 года. Также она была куратором Towner Art Gallery — музея современного искусства в Истборне, Восточный Сассекс."
Прямая трансляция: Public Talk Филиппа Паррено,2013,https://garagemca.org/news/2013-02-28-watch-live-philippe-parreno-s-public-talk,1 марта в 20:00 на сайте Центра «Гараж» начнется прямая трансляция беседы Филиппа Паррено и Ингеборги Дапкунайте. Public Talk пройдет в закрытом формате в Образовательном Центре «Гараж» в Парке Горького. 1 марта Центр «Гараж» будет открыт с 19:00 только для зарегистрировавшихся на событие гостей.
Значки Парка Горького в книжном магазине «Гаража»,2013,https://garagemca.org/news/2013-03-11-gorky-park-pins-in-garage-book-shop,"Коллекционные значки Парка Горького в продаже в нашем книжном с понедельника, 11 марта. Торопитесь - количество ограничено!"
Дарья Жукова сняла мини-фильм о стрит-фотографии для журнала Garage,2013,https://garagemca.org/news/2013-03-12-daria-zhukova-s-documentary-for-garage-magazine,"Дарья Жукова и режиссер Анднин Ха сняли короткометражный фильм о стрит-фотографии Take My Picture, исследующий феномен фэшн-блоггеров и стрит-фотографии. TAKE MY PICTURE from GARAGE Magazine on Vimeo."
Кафе центра современной культуры «Гараж»,2013,https://garagemca.org/news/2013-03-17-garage-cafe,
Вышел первый номер русской версии журнала GARAGE,2013,https://garagemca.org/news/2013-03-28-garage-magazine-russia-launches,"Первый выпуск русской версии GARAGE — международного журнала о современном искусстве, моде и культуре — выходит в свет 28 марта 2013 года. Журнал GARAGE — это возможность воплощения проектов вне стен московского Центра современной культуры «Гараж», это площадка для экспериментов и футурологических прогнозов. «GARAGE — это зеркало, отражающее и вас, и меня, и многих других. Поэтому вполне естественно, что этот первый для России номер посвящен идентичности, субъективному отношению человека к самому себе и потребности соотносить себя с другими и с окружающим миром», — говорит главный редактор журнала Даша Жукова. GARAGE сотрудничает со многими известными художниками, такими как Юрген Теллер, Деймиан Херст, Михаэль Эльмгрен и Ингар Драгсет, но немало страниц он посвящает моде — интригующей, изысканной, иногда эпатажной, но всегда вдохновляющей. С самого своего основания GARAGE сотрудничал с лучшими представителями фэшн-индустрии, знаменитыми фотографами, стилистами и дизайнерами. Среди авторов первого русского выпуска — художница Хейли Меллин, концептуалист Виктор Пивоваров, философ Ольга Серебряная, куратор Невилл Уэйкфилд, писательница Аллегра Хьюстон, куратор и критик Ханс Ульрих Обрист, писатель Гленн О’Брайен, арт-критик Мария Кравцова, международный директор департамента современного искусства аукционного дома Phillips Светлана Марич, а среди героев — художники Урс Фишер и Тистер Гейтс, консультант по формированию коллекций Санди Хеллер, директор Государственного музея изобразительных искусств имени А.С. Пушкина Ирина Антонова, музыканты Микки Бланко, Коди Критчлоу и Энджел Хейз, модный блогер Тави Гевинсон, актриса и режиссер Лена Данэм и многие другие. Также мы рады представить специальные проекты, над которыми работали фотографы Патрик Демаршелье, Борис Михайлов и Паоло Роверси. Помимо этого в первом русском выпуске журнала GARAGE мы представляем сет из десяти настольных игр, над созданием которых трудились известные дизайнеры и художники: Никита Алексеев, Юлия Застава, Мэри Катрантзу, Хетти Стюарт, Сара-Джейн Тодд, Эрик Циммерман, Сергей Шеховцов и другие. И, наконец, наша обложка — плод совместных усилий фотографа Патрика Демаршелье и художницы Синди Шерман. В международную команду GARAGE входят один из самых авторитетных арт-директоров мира журналов Майк Мейре, редактор моды Хлое Керман, издатель Том Бэйли, Майкл Польсинелли, Шала Монрок, Джоан Джульет Бак, а в качестве приглашенного редактора с журналом сотрудничает Дерек Бласберг. В русскую часть редакции GARAGE вошли арт-критик Мария Кравцова, редактор Екатерина Алленова и издатель Данила Стратович. По словам фотографа Патрика Демаршелье, «GARAGE — это больше чем журнал о моде и больше чем журнал по искусству». Периодичность выхода журнала — один раз в шесть месяцев. Первый выпуск в магазинах с 28 марта. Рекомендованная цена – 400 руб."
